101,Bolton Wanderers,Wigan Athletic,0,1,A,2006-2007
102,Charlton Athletic,Manchester City,1,0,H,2006-2007
103,Liverpool,Reading,2,0,H,2006-2007
104,Manchester United,Portsmouth,3,0,H,2006-2007
105,Watford,Middlesbrough,2,0,H,2006-2007
106,Newcastle United,Sheffield United,0,1,A,2006-2007
107,West Ham United,Arsenal,1,0,H,2006-2007
108,Aston Villa,Blackburn Rovers,2,0,H,2006-2007
109,Tottenham Hotspur,Chelsea,2,1,H,2006-2007
110,Manchester City,Newcastle United,0,0,D,2006-2007
111,Chelsea,Watford,4,0,H,2006-2007
112,Everton,Aston Villa,0,1,A,2006-2007
113,Middlesbrough,West Ham United,1,0,H,2006-2007
114,Portsmouth,Fulham,1,1,D,2006-2007
115,Sheffield United,Bolton Wanderers,2,2,D,2006-2007
116,Wigan Athletic,Charlton Athletic,3,2,H,2006-2007
117,Blackburn Rovers,Manchester United,0,1,A,2006-2007
118,Reading,Tottenham Hotspur,3,1,H,2006-2007
119,Arsenal,Liverpool,3,0,H,2006-2007
120,Manchester City,Fulham,3,1,H,2006-2007
121,Arsenal,Newcastle United,1,1,D,2006-2007
122,Chelsea,West Ham United,1,0,H,2006-2007
123,Everton,Bolton Wanderers,1,0,H,2006-2007
124,Portsmouth,Watford,2,1,H,2006-2007
125,Reading,Charlton Athletic,2,0,H,2006-2007
126,Sheffield United,Manchester United,1,2,A,2006-2007
127,Middlesbrough,Liverpool,0,0,D,2006-2007
128,Wigan Athletic,Aston Villa,0,0,D,2006-2007
129,Blackburn Rovers,Tottenham Hotspur,1,1,D,2006-2007
130,Charlton Athletic,Everton,1,1,D,2006-2007
131,Aston Villa,Middlesbrough,1,1,D,2006-2007
132,Fulham,Reading,0,1,A,2006-2007
133,Liverpool,Manchester City,1,0,H,2006-2007
134,West Ham United,Sheffield United,1,0,H,2006-2007
135,Bolton Wanderers,Arsenal,3,1,H,2006-2007
136,Newcastle United,Portsmouth,1,0,H,2006-2007
137,Tottenham Hotspur,Wigan Athletic,3,1,H,2006-2007
138,Manchester United,Chelsea,1,1,D,2006-2007
139,Watford,Sheffield United,0,1,A,2006-2007
140,Aston Villa,Manchester City,1,3,A,2006-2007
141,Fulham,Arsenal,2,1,H,2006-2007
142,Bolton Wanderers,Chelsea,0,1,A,2006-2007
143,Liverpool,Portsmouth,0,0,D,2006-2007
144,Manchester United,Everton,3,0,H,2006-2007
145,Arsenal,Tottenham Hotspur,3,0,H,2006-2007
146,Blackburn Rovers,Fulham,2,0,H,2006-2007
147,Portsmouth,Aston Villa,2,2,D,2006-2007
148,Reading,Bolton Wanderers,1,0,H,2006-2007
149,Sheffield United,Charlton Athletic,2,1,H,2006-2007
150,Wigan Athletic,Liverpool,0,4,A,2006-2007
151,Middlesbrough,Manchester United,1,2,A,2006-2007
152,Everton,West Ham United,2,0,H,2006-2007
153,Manchester City,Watford,0,0,D,2006-2007
154,Charlton Athletic,Blackburn Rovers,1,0,H,2006-2007
155,Tottenham Hotspur,Middlesbrough,2,1,H,2006-2007
156,Newcastle United,Reading,3,2,H,2006-2007
157,West Ham United,Wigan Athletic,0,2,A,2006-2007
158,Manchester United,Manchester City,3,1,H,2006-2007
159,Blackburn Rovers,Newcastle United,1,3,A,2006-2007
160,Liverpool,Fulham,4,0,H,2006-2007
161,Middlesbrough,Wigan Athletic,1,1,D,2006-2007
162,Portsmouth,Everton,2,0,H,2006-2007
163,Tottenham Hotspur,Charlton Athletic,5,1,H,2006-2007
164,Watford,Reading,0,0,D,2006-2007
165,Bolton Wanderers,West Ham United,4,0,H,2006-2007
166,Chelsea,Arsenal,1,1,D,2006-2007
167,Sheffield United,Aston Villa,2,2,D,2006-2007
168,Chelsea,Newcastle United,1,0,H,2006-2007
169,Wigan Athletic,Arsenal,0,1,A,2006-2007
170,Charlton Athletic,Liverpool,0,3,A,2006-2007
171,Arsenal,Portsmouth,2,2,D,2006-2007
172,Newcastle United,Watford,2,1,H,2006-2007
173,Reading,Blackburn Rovers,1,2,A,2006-2007
174,Wigan Athletic,Sheffield United,0,1,A,2006-2007
175,Aston Villa,Bolton Wanderers,0,1,A,2006-2007
176,Everton,Chelsea,2,3,A,2006-2007
177,Manchester City,Tottenham Hotspur,1,2,A,2006-2007
178,West Ham United,Manchester United,1,0,H,2006-2007
179,Fulham,Middlesbrough,2,1,H,2006-2007
180,Fulham,West Ham United,0,0,D,2006-2007
181,Arsenal,Blackburn Rovers,6,2,H,2006-2007
182,Aston Villa,Manchester United,0,3,A,2006-2007
183,Liverpool,Watford,2,0,H,2006-2007
184,Manchester City,Bolton Wanderers,0,2,A,2006-2007
185,Middlesbrough,Charlton Athletic,2,0,H,2006-2007
186,Newcastle United,Tottenham Hotspur,3,1,H,2006-2007
187,Portsmouth,Sheffield United,3,1,H,2006-2007
188,Reading,Everton,0,2,A,2006-2007
189,Wigan Athletic,Chelsea,2,3,A,2006-2007
190,Chelsea,Reading,2,2,D,2006-2007
191,Tottenham Hotspur,Aston Villa,2,1,H,2006-2007
192,West Ham United,Portsmouth,1,2,A,2006-2007
193,Blackburn Rovers,Liverpool,1,0,H,2006-2007
194,Bolton Wanderers,Newcastle United,2,1,H,2006-2007
195,Everton,Middlesbrough,0,0,D,2006-2007
196,Manchester United,Wigan Athletic,3,1,H,2006-2007
197,Sheffield United,Manchester City,0,1,A,2006-2007
198,Watford,Arsenal,1,2,A,2006-2007
199,Charlton Athletic,Fulham,2,2,D,2006-2007
200,Charlton Athletic,Aston Villa,2,1,H,2006-2007
201,Blackburn Rovers,Middlesbrough,2,1,H,2006-2007
202,Bolton Wanderers,Portsmouth,3,2,H,2006-2007
203,Chelsea,Fulham,2,2,D,2006-2007
204,Everton,Newcastle United,3,0,H,2006-2007
205,Manchester United,Reading,3,2,H,2006-2007
206,Tottenham Hotspur,Liverpool,0,1,A,2006-2007
207,West Ham United,Manchester City,0,1,A,2006-2007
208,Sheffield United,Arsenal,1,0,H,2006-2007
209,Liverpool,Bolton Wanderers,3,0,H,2006-2007
210,Fulham,Watford,0,0,D,2006-2007
211,Manchester City,Everton,2,1,H,2006-2007
212,Middlesbrough,Sheffield United,3,1,H,2006-2007
213,Portsmouth,Tottenham Hotspur,1,1,D,2006-2007
214,Reading,West Ham United,6,0,H,2006-2007
215,Wigan Athletic,Blackburn Rovers,0,3,A,2006-2007
216,Newcastle United,Manchester United,2,2,D,2006-2007
217,Arsenal,Charlton Athletic,4,0,H,2006-2007
218,Aston Villa,Chelsea,0,0,D,2006-2007
219,Watford,Liverpool,0,3,A,2006-2007
220,Bolton Wanderers,Manchester City,0,0,D,2006-2007
221,Charlton Athletic,Middlesbrough,1,3,A,2006-2007
222,Chelsea,Wigan Athletic,4,0,H,2006-2007
223,Manchester United,Aston Villa,3,1,H,2006-2007
224,Sheffield United,Portsmouth,1,1,D,2006-2007
225,West Ham United,Fulham,3,3,D,2006-2007
226,Blackburn Rovers,Arsenal,0,2,A,2006-2007
227,Everton,Reading,1,1,D,2006-2007
228,Tottenham Hotspur,Newcastle United,2,3,A,2006-2007
229,Liverpool,Chelsea,2,0,H,2006-2007
230,Aston Villa,Watford,2,0,H,2006-2007
231,Fulham,Tottenham Hotspur,1,1,D,2006-2007
232,Middlesbrough,Bolton Wanderers,5,1,H,2006-2007
233,Newcastle United,West Ham United,2,2,D,2006-2007
234,Portsmouth,Charlton Athletic,0,1,A,2006-2007
235,Reading,Sheffield United,3,1,H,2006-2007
236,Manchester City,Blackburn Rovers,0,3,A,2006-2007
237,Wigan Athletic,Everton,0,2,A,2006-2007
238,Arsenal,Manchester United,2,1,H,2006-2007
239,Watford,Blackburn Rovers,2,1,H,2006-2007
240,Portsmouth,Middlesbrough,0,0,D,2006-2007
241,Sheffield United,Fulham,2,0,H,2006-2007
242,West Ham United,Liverpool,1,2,A,2006-2007
243,Reading,Wigan Athletic,3,2,H,2006-2007
244,Chelsea,Blackburn Rovers,3,0,H,2006-2007
245,Bolton Wanderers,Charlton Athletic,1,1,D,2006-2007
246,Manchester United,Watford,4,0,H,2006-2007
247,Newcastle United,Aston Villa,3,1,H,2006-2007
248,Liverpool,Everton,0,0,D,2006-2007
249,Aston Villa,West Ham United,1,0,H,2006-2007
250,Blackburn Rovers,Sheffield United,2,1,H,2006-2007
251,Charlton Athletic,Chelsea,0,1,A,2006-2007
252,Fulham,Newcastle United,2,1,H,2006-2007
253,Manchester City,Reading,0,2,A,2006-2007
254,Watford,Bolton Wanderers,0,1,A,2006-2007
255,Wigan Athletic,Portsmouth,1,0,H,2006-2007
256,Middlesbrough,Arsenal,1,1,D,2006-2007
257,Tottenham Hotspur,Manchester United,0,4,A,2006-2007
258,Reading,Aston Villa,2,0,H,2006-2007
259,Chelsea,Middlesbrough,3,0,H,2006-2007
260,Everton,Blackburn Rovers,1,0,H,2006-2007
261,Manchester United,Charlton Athletic,2,0,H,2006-2007
262,Newcastle United,Liverpool,2,1,H,2006-2007
263,Sheffield United,Tottenham Hotspur,2,1,H,2006-2007
264,West Ham United,Watford,0,1,A,2006-2007
265,Portsmouth,Manchester City,2,1,H,2006-2007
266,Bolton Wanderers,Fulham,2,1,H,2006-2007
267,Arsenal,Wigan Athletic,2,1,H,2006-2007
268,Watford,Wigan Athletic,1,1,D,2006-2007
269,Everton,Tottenham Hotspur,1,2,A,2006-2007
270,Fulham,Manchester United,1,2,A,2006-2007
271,Charlton Athletic,West Ham United,4,0,H,2006-2007
272,Liverpool,Sheffield United,4,0,H,2006-2007
273,Middlesbrough,Reading,2,1,H,2006-2007
274,Watford,Everton,0,3,A,2006-2007
275,Wigan Athletic,Newcastle United,1,0,H,2006-2007
276,Blackburn Rovers,Portsmouth,3,0,H,2006-2007
277,Tottenham Hotspur,Bolton Wanderers,4,1,H,2006-2007
278,Liverpool,Manchester United,0,1,A,2006-2007
279,Arsenal,Reading,2,1,H,2006-2007
280,Fulham,Aston Villa,1,1,D,2006-2007
281,Manchester City,Wigan Athletic,0,1,A,2006-2007
282,Newcastle United,Middlesbrough,0,0,D,2006-2007
283,Sheffield United,Everton,1,1,D,2006-2007
284,Watford,Charlton Athletic,2,2,D,2006-2007
285,Portsmouth,Chelsea,0,2,A,2006-2007
286,Bolton Wanderers,Blackburn Rovers,1,2,A,2006-2007
287,West Ham United,Tottenham Hotspur,3,4,A,2006-2007
288,Aston Villa,Arsenal,0,1,A,2006-2007
289,Manchester City,Chelsea,0,1,A,2006-2007
290,Manchester United,Bolton Wanderers,4,1,H,2006-2007
291,Chelsea,Sheffield United,3,0,H,2006-2007
292,Middlesbrough,Manchester City,0,2,A,2006-2007
293,Reading,Portsmouth,0,0,D,2006-2007
294,Tottenham Hotspur,Watford,3,1,H,2006-2007
295,Wigan Athletic,Fulham,0,0,D,2006-2007
296,Blackburn Rovers,West Ham United,1,2,A,2006-2007
297,Charlton Athletic,Newcastle United,2,0,H,2006-2007
298,Aston Villa,Liverpool,0,0,D,2006-2007
299,Everton,Arsenal,1,0,H,2006-2007
300,Liverpool,Arsenal,4,1,H,2006-2007
301,Bolton Wanderers,Sheffield United,1,0,H,2006-2007
302,Charlton Athletic,Wigan Athletic,1,0,H,2006-2007
303,Fulham,Portsmouth,1,1,D,2006-2007
304,Manchester United,Blackburn Rovers,4,1,H,2006-2007
305,Newcastle United,Manchester City,0,1,A,2006-2007
306,West Ham United,Middlesbrough,2,0,H,2006-2007
307,Watford,Chelsea,0,1,A,2006-2007
308,Tottenham Hotspur,Reading,1,0,H,2006-2007
309,Aston Villa,Everton,1,1,D,2006-2007
310,Manchester City,Charlton Athletic,0,0,D,2006-2007
311,Everton,Fulham,4,1,H,2006-2007
312,Chelsea,Tottenham Hotspur,1,0,H,2006-2007
313,Arsenal,West Ham United,0,1,A,2006-2007
314,Blackburn Rovers,Aston Villa,1,2,A,2006-2007
315,Middlesbrough,Watford,4,1,H,2006-2007
316,Reading,Liverpool,1,2,A,2006-2007
317,Sheffield United,Newcastle United,1,2,A,2006-2007
318,Wigan Athletic,Bolton Wanderers,1,3,A,2006-2007
319,Portsmouth,Manchester United,2,1,H,2006-2007
320,Watford,Portsmouth,4,2,H,2006-2007
321,Aston Villa,Wigan Athletic,1,1,D,2006-2007
322,Bolton Wanderers,Everton,1,1,D,2006-2007
323,Fulham,Manchester City,1,3,A,2006-2007
324,Newcastle United,Arsenal,0,0,D,2006-2007
325,Charlton Athletic,Reading,0,0,D,2006-2007
326,Arsenal,Bolton Wanderers,2,1,H,2006-2007
327,Manchester City,Liverpool,0,0,D,2006-2007
328,Middlesbrough,Aston Villa,1,3,A,2006-2007
329,Portsmouth,Newcastle United,2,1,H,2006-2007
330,Reading,Fulham,1,0,H,2006-2007
331,Sheffield United,West Ham United,3,0,H,2006-2007
332,Wigan Athletic,Tottenham Hotspur,3,3,D,2006-2007
333,Everton,Charlton Athletic,2,1,H,2006-2007
334,Arsenal,Manchester City,3,1,H,2006-2007
335,Manchester United,Sheffield United,2,0,H,2006-2007
336,Blackburn Rovers,Watford,3,1,H,2006-2007
337,Liverpool,Middlesbrough,2,0,H,2006-2007
338,West Ham United,Chelsea,1,4,A,2006-2007
339,Tottenham Hotspur,Arsenal,2,2,D,2006-2007
340,Bolton Wanderers,Reading,1,3,A,2006-2007
341,Charlton Athletic,Sheffield United,1,1,D,2006-2007
342,Fulham,Blackburn Rovers,1,1,D,2006-2007
343,Liverpool,Wigan Athletic,2,0,H,2006-2007
344,Watford,Manchester City,1,1,D,2006-2007
345,West Ham United,Everton,1,0,H,2006-2007
346,Manchester United,Middlesbrough,1,1,D,2006-2007
